prefix	invalid	total
pr	149587	224963
pathbank	110242	110242
gwascentral.phenotype	4320	4320
eccode	51	6982
idomal	41	1457
ncbitaxon	34	2308106
ro	5	5
eco	2	1788
aeo	1	133
obi	1	2927
uniprot	1	564639
apo	0	309
bspo	0	139
ceph	0	321
chebi	0	18
chembl.compound	0	41049
cl	0	2311
cmo	0	3629
complexportal	0	3389
conso	0	368
cro	0	81
cteno	0	151
ddanat	0	131
ddpheno	0	982
doid	0	10727
drugbank	0	14315
drugbank.salt	0	2505
efo	0	9875
exo	0	149
fbbi	0	1
fbcv	0	1094
fix	0	1163
fma	0	78977
fplx	0	705
fypo	0	7391
geno	0	218
go	0	44085
gwascentral.study	0	4320
hgnc	0	42514
hgnc.genefamily	0	1569
hp	0	15816
hsapdv	0	238
itis	0	856953
mesh	0	300093
mgi	0	304226
mi	0	1435
mirbase	0	38589
mirbase.mature	0	49168
miro	0	4340
mmo	0	743
mmusdv	0	134
mod	0	1978
mondo	0	22294
mop	0	3579
mpath	0	841
ms	0	2742
nbo	0	928
ncit	0	158568
olatdv	0	47
omit	0	89
omp	0	1997
pdumdv	0	21
peco	0	550
pfam	0	19179
pid.pathway	0	211
pw	0	2600
reactome	0	20567
rgd	0	65147
rhea	0	13528
rs	0	4835
rxno	0	614
sbo	0	651
sgd	0	6600
so	0	2339
spd	0	757
symp	0	847
tads	0	628
tgma	0	1864
trans	0	25
uberon	0	14084
umls	0	4412440
upa	0	4659
vario	0	495
wikipathways	0	1741
xao	0	1720
xco	0	816
xlmod	0	1101
zeco	0	161
zfa	0	3079
zfs	0	54
