identifier	name	link
07502	Coca Cola Light	https://bioregistry.io/fobi:07502
08804	4-hydroxy-5-(3',5'-dihydroxyphenyl)-valeric acid glucuronide	https://bioregistry.io/fobi:08804
08665	5-(3',5'-dihydroxyphenyl)-γ-valerolactone	https://bioregistry.io/fobi:08665
08684	3'-methylepicatechin 5-sulfate	https://bioregistry.io/fobi:08684
07504	Coca Cola	https://bioregistry.io/fobi:07504
07584	zero coke	https://bioregistry.io/fobi:07584
08696	1-methylpyrogallol 3-glucuronide	https://bioregistry.io/fobi:08696
08695	1-methylpyrogallol 2-glucuronide	https://bioregistry.io/fobi:08695
08680	3-(4-hydroxyphenyl)propionic acid glucuronide	https://bioregistry.io/fobi:08680
08702	naringenin 5-glucuronide	https://bioregistry.io/fobi:08702
08652	catechin 3'-sulfate	https://bioregistry.io/fobi:08652
08692	3-methylgallic acid 4-sulfate	https://bioregistry.io/fobi:08692
08566	3'-methylcatechin 4'-glucuronide	https://bioregistry.io/fobi:08566
08643	4'-methylepicatechin 3'-glucuronide	https://bioregistry.io/fobi:08643
08807	3,4-dihydroxyphenylvaleric acid 3 glucuronide	https://bioregistry.io/fobi:08807
08653	catechin 4'-sulfate	https://bioregistry.io/fobi:08653
08647	catechin 5-glucuronide	https://bioregistry.io/fobi:08647
08708	urolithin a 3-sulfate	https://bioregistry.io/fobi:08708
08672	2,5-dihydroxybenzoic acid 5-glucuronide	https://bioregistry.io/fobi:08672
08648	epicatechin 3'-glucuronide	https://bioregistry.io/fobi:08648
08809	3,4-dihydroxyphenylvaleric acid 4 glucuronide	https://bioregistry.io/fobi:08809
08811	3,5-dihydroxyphenylvaleric acid	https://bioregistry.io/fobi:08811
08686	4'-methylepicatechin 3'-sulfate	https://bioregistry.io/fobi:08686
08822	phytic acid	https://bioregistry.io/fobi:08822
08683	3'-methylepicatechin 4'-sulfate	https://bioregistry.io/fobi:08683
0185	Lean meat	https://bioregistry.io/fobi:0185
08816	3,5-dihydroxycinnamic acid sulfate	https://bioregistry.io/fobi:08816
0001	Foods	https://bioregistry.io/fobi:0001
08671	2,5-dihydroxybenzoic acid 2-glucuronide	https://bioregistry.io/fobi:08671
08813	3,5-dihydroxyphenylvaleric acid sulfate	https://bioregistry.io/fobi:08813
08685	3'-methylepicatechin 7-sulfate	https://bioregistry.io/fobi:08685
08814	3,5-dihydroxycinnamic acid	https://bioregistry.io/fobi:08814
0024	Infusions	https://bioregistry.io/fobi:0024
07501	Coca Cola Zero	https://bioregistry.io/fobi:07501
08649	epicatechin 4'-glucuronide	https://bioregistry.io/fobi:08649
08705	naringenin 7-sulfate	https://bioregistry.io/fobi:08705
08646	catechin 4'-glucuronide	https://bioregistry.io/fobi:08646
07585	coke	https://bioregistry.io/fobi:07585
08682	3-(4-hydroxyphenyl)propionic acid sulfate	https://bioregistry.io/fobi:08682
08662	3,4-dihydroxyphenylacetic acid 3-sulfate	https://bioregistry.io/fobi:08662
08711	5-(4’-hydroxyphenyl)-γ-valerolactone	https://bioregistry.io/fobi:08711
08657	epicatechin 4'-sulfate	https://bioregistry.io/fobi:08657
08818	alanine betaine	https://bioregistry.io/fobi:08818
0166	Baking goods	https://bioregistry.io/fobi:0166
0168	Confectioneries	https://bioregistry.io/fobi:0168
08710	5-(4’-hydroxyphenyl)-γ-valerolactone 4'-glucuronide	https://bioregistry.io/fobi:08710
08675	2,5-dihydroxybenzoic acid 5-sulfate	https://bioregistry.io/fobi:08675
08820	phenylalanine betaine	https://bioregistry.io/fobi:08820
08693	3-methylgallic acid 5-sulfate	https://bioregistry.io/fobi:08693
