identifier	name	link
Z20-Z29	Persons with potential health hazards related to communicable diseases	https://icd.who.int/browse10/2019/en#/Z20-Z29
L60-L75	Disorders of skin appendages	https://icd.who.int/browse10/2019/en#/L60-L75
G80-G83	Cerebral palsy and other paralytic syndromes	https://icd.who.int/browse10/2019/en#/G80-G83
K65-K67	Diseases of peritoneum	https://icd.who.int/browse10/2019/en#/K65-K67
C43-C44	Melanoma and other malignant neoplasms of skin	https://icd.who.int/browse10/2019/en#/C43-C44
E50-E64	Other nutritional deficiencies	https://icd.who.int/browse10/2019/en#/E50-E64
S60-S69	Injuries to the wrist and hand	https://icd.who.int/browse10/2019/en#/S60-S69
F40-F48	Neurotic, stress-related and somatoform disorders	https://icd.who.int/browse10/2019/en#/F40-F48
XI	Diseases of the digestive system	https://icd.who.int/browse10/2019/en#/XI
N30-N39	Other diseases of urinary system	https://icd.who.int/browse10/2019/en#/N30-N39
T20-T25	Burns and corrosions of external body surface, specified by site	https://icd.who.int/browse10/2019/en#/T20-T25
X	Diseases of the respiratory system	https://icd.who.int/browse10/2019/en#/X
F20-F29	Schizophrenia, schizotypal and delusional disorders	https://icd.who.int/browse10/2019/en#/F20-F29
D10-D36	Benign neoplasms	https://icd.who.int/browse10/2019/en#/D10-D36
T26-T28	Burns and corrosions confined to eye and internal organs	https://icd.who.int/browse10/2019/en#/T26-T28
U00-U49	Provisional assignment of new diseases of uncertain etiology or emergency use	https://icd.who.int/browse10/2019/en#/U00-U49
G60-G64	Polyneuropathies and other disorders of the peripheral nervous system	https://icd.who.int/browse10/2019/en#/G60-G64
Z55-Z65	Persons with potential health hazards related to socioeconomic and psychosocial circumstances	https://icd.who.int/browse10/2019/en#/Z55-Z65
I80-I89	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	https://icd.who.int/browse10/2019/en#/I80-I89
D55-D59	Haemolytic anaemias	https://icd.who.int/browse10/2019/en#/D55-D59
F60-F69	Disorders of adult personality and behaviour	https://icd.who.int/browse10/2019/en#/F60-F69
C15-C26	Malignant neoplasms of digestive organs	https://icd.who.int/browse10/2019/en#/C15-C26
E15-E16	Other disorders of glucose regulation and pancreatic internal secretion	https://icd.who.int/browse10/2019/en#/E15-E16
S20-S29	Injuries to the thorax	https://icd.who.int/browse10/2019/en#/S20-S29
O10-O16	Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium	https://icd.who.int/browse10/2019/en#/O10-O16
IV	Endocrine, nutritional and metabolic diseases	https://icd.who.int/browse10/2019/en#/IV
Y83-Y84	Surgical and other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure	https://icd.who.int/browse10/2019/en#/Y83-Y84
V90-V94	Water transport accidents	https://icd.who.int/browse10/2019/en#/V90-V94
V70-V79	Bus occupant injured in transport accident	https://icd.who.int/browse10/2019/en#/V70-V79
J20-J22	Other acute lower respiratory infections	https://icd.who.int/browse10/2019/en#/J20-J22
K50-K52	Noninfective enteritis and colitis	https://icd.who.int/browse10/2019/en#/K50-K52
B65-B83	Helminthiases	https://icd.who.int/browse10/2019/en#/B65-B83
E00-E07	Disorders of thyroid gland	https://icd.who.int/browse10/2019/en#/E00-E07
X20-X29	Contact with venomous animals and plants	https://icd.who.int/browse10/2019/en#/X20-X29
C00-C14	Malignant neoplasms of lip, oral cavity and pharynx	https://icd.who.int/browse10/2019/en#/C00-C14
H40-H42	Glaucoma	https://icd.who.int/browse10/2019/en#/H40-H42
S30-S39	Injuries to the abdomen, lower back, lumbar spine and pelvis	https://icd.who.int/browse10/2019/en#/S30-S39
H80-H83	Diseases of inner ear	https://icd.who.int/browse10/2019/en#/H80-H83
X85-Y09	Assault	https://icd.who.int/browse10/2019/en#/X85-Y09
R70-R79	Abnormal findings on examination of blood, without diagnosis	https://icd.who.int/browse10/2019/en#/R70-R79
