identifier	name	link
VT0005450	energy expenditure trait	http://purl.obolibrary.org/obo/OBA_VT0005450
VT0003769	lip morphology trait	http://purl.obolibrary.org/obo/OBA_VT0003769
VT0002282	trachea morphology trait	http://purl.obolibrary.org/obo/OBA_VT0002282
VT0004438	vestibular hair cell physiology trait	http://purl.obolibrary.org/obo/OBA_VT0004438
VT0002847	glomerular filtration trait	http://purl.obolibrary.org/obo/OBA_VT0002847
VT0001329	retina cell quantity	http://purl.obolibrary.org/obo/OBA_VT0001329
VT0000819	olfactory bulb morphology trait	http://purl.obolibrary.org/obo/OBA_VT0000819
VT0006107	atrioventricular canal morphology trait	http://purl.obolibrary.org/obo/OBA_VT0006107
VT0001179	alveolar septum thickness	http://purl.obolibrary.org/obo/OBA_VT0001179
VT0007090	aorta size trait	http://purl.obolibrary.org/obo/OBA_VT0007090
VT0006102	tegmentum size trait	http://purl.obolibrary.org/obo/OBA_VT0006102
VT0002970	white adipose morphology trait	http://purl.obolibrary.org/obo/OBA_VT0002970
VT0003056	hyoid bone morphology trait	http://purl.obolibrary.org/obo/OBA_VT0003056
VT0010275	milk hormone amount	http://purl.obolibrary.org/obo/OBA_VT0010275
VT0008589	blood interleukin-1 amount	http://purl.obolibrary.org/obo/OBA_VT0008589
VT0001884	mammary alveoli morphology trait	http://purl.obolibrary.org/obo/OBA_VT0001884
VT0003384	ventral body wall morphology	http://purl.obolibrary.org/obo/OBA_VT0003384
VT0010220	large intestine mass	http://purl.obolibrary.org/obo/OBA_VT0010220
VT0000319	endolymph physiology trait	http://purl.obolibrary.org/obo/OBA_VT0000319
VT0001942	lung capacity	http://purl.obolibrary.org/obo/OBA_VT0001942
VT0000558	tibia morphology trait	http://purl.obolibrary.org/obo/OBA_VT0000558
VT0004062	right atrium capacity	http://purl.obolibrary.org/obo/OBA_VT0004062
VT0010658	comb shape	http://purl.obolibrary.org/obo/OBA_VT0010658
VT0005663	blood norepinephrine amount	http://purl.obolibrary.org/obo/OBA_VT0005663
VT0010496	pituitary gland mass	http://purl.obolibrary.org/obo/OBA_VT0010496
VT1000401	muscle androstenone amount	http://purl.obolibrary.org/obo/OBA_VT1000401
VT0005335	gonadal fat pad morphology trait	http://purl.obolibrary.org/obo/OBA_VT0005335
VT0010656	comb morphology	http://purl.obolibrary.org/obo/OBA_VT0010656
VT0010022	metacarpus length	http://purl.obolibrary.org/obo/OBA_VT0010022
VT0010421	epididymal fat pad mass	http://purl.obolibrary.org/obo/OBA_VT0010421
VT0008686	interleukin-2 secretion trait	http://purl.obolibrary.org/obo/OBA_VT0008686
VT0001348	lacrimal gland physiology trait	http://purl.obolibrary.org/obo/OBA_VT0001348
VT0010574	lumbar vertebra strength	http://purl.obolibrary.org/obo/OBA_VT0010574
VT0004364	stria vascularis size trait	http://purl.obolibrary.org/obo/OBA_VT0004364
VT0005504	ligament morphology trait	http://purl.obolibrary.org/obo/OBA_VT0005504
VT0001259	body mass	http://purl.obolibrary.org/obo/OBA_VT0001259
VT0001231	epidermis stratum basale morphology trait	http://purl.obolibrary.org/obo/OBA_VT0001231
VT0000494	cecum morphology trait	http://purl.obolibrary.org/obo/OBA_VT0000494
VT0000497	small intestine orientation trait	http://purl.obolibrary.org/obo/OBA_VT0000497
VT0000965	sensory neuron morphology trait	http://purl.obolibrary.org/obo/OBA_VT0000965
VT0008344	mature gamma-delta T cell morphology trait	http://purl.obolibrary.org/obo/OBA_VT0008344
VT0010499	calcium amount	http://purl.obolibrary.org/obo/OBA_VT0010499
VT0002713	glycogen catabolism trait	http://purl.obolibrary.org/obo/OBA_VT0002713
VT0002662	cauda epididymis morphology trait	http://purl.obolibrary.org/obo/OBA_VT0002662
VT0000074	neurocranium morphology trait	http://purl.obolibrary.org/obo/OBA_VT0000074
VT0003162	lateral semicircular canal size trait	http://purl.obolibrary.org/obo/OBA_VT0003162
VT0003252	bile duct physiology trait	http://purl.obolibrary.org/obo/OBA_VT0003252
VT0000900	corpora quadrigemina size trait	http://purl.obolibrary.org/obo/OBA_VT0000900
VT0003854	forelimb stylopod morphology trait	http://purl.obolibrary.org/obo/OBA_VT0003854
VT0002664	blood adrenocorticotropin amount	http://purl.obolibrary.org/obo/OBA_VT0002664
VT1000705	mammary gland width	http://purl.obolibrary.org/obo/OBA_VT1000705
VT0000539	urinary bladder size trait	http://purl.obolibrary.org/obo/OBA_VT0000539
VT0005394	olfactory system trait	http://purl.obolibrary.org/obo/OBA_VT0005394
VT0005660	blood epinephrine amount	http://purl.obolibrary.org/obo/OBA_VT0005660
VT0002346	lymph node secondary follicle morphology trait	http://purl.obolibrary.org/obo/OBA_VT0002346
VT1000747	type I muscle fiber quantity	http://purl.obolibrary.org/obo/OBA_VT1000747
VT0001345	meibomian gland size trait	http://purl.obolibrary.org/obo/OBA_VT0001345
VT0000056	urine trait	http://purl.obolibrary.org/obo/OBA_VT0000056
VT0002707	kidney mass	http://purl.obolibrary.org/obo/OBA_VT0002707
VT0005109	talus morphology trait	http://purl.obolibrary.org/obo/OBA_VT0005109
VT0005273	cranial base morphology trait	http://purl.obolibrary.org/obo/OBA_VT0005273
VT0006105	tectum size trait	http://purl.obolibrary.org/obo/OBA_VT0006105
VT0005194	anterior uvea morphology trait	http://purl.obolibrary.org/obo/OBA_VT0005194
VT0004390	bronchoalveolar duct junction morphology trait	http://purl.obolibrary.org/obo/OBA_VT0004390
VT0004171	pallium development trait	http://purl.obolibrary.org/obo/OBA_VT0004171
VT0005211	gastric mucosa thickness	http://purl.obolibrary.org/obo/OBA_VT0005211
VT0000541	urinary bladder transitional epithelium morphology trait	http://purl.obolibrary.org/obo/OBA_VT0000541
VT0004090	sarcomere morphology trait	http://purl.obolibrary.org/obo/OBA_VT0004090
VT0005241	retinal ganglion layer morphology trait	http://purl.obolibrary.org/obo/OBA_VT0005241
VT0001126	ovary morphology trait	http://purl.obolibrary.org/obo/OBA_VT0001126
VT0000647	sebaceous gland morphology trait	http://purl.obolibrary.org/obo/OBA_VT0000647
VT0003156	leukocyte migration trait	http://purl.obolibrary.org/obo/OBA_VT0003156
VT0003051	tail shape trait	http://purl.obolibrary.org/obo/OBA_VT0003051
VT0015059	thorax trait	http://purl.obolibrary.org/obo/OBA_VT0015059
VT0003646	muscle fatigue trait	http://purl.obolibrary.org/obo/OBA_VT0003646
VT0002982	germ cell migration trait	http://purl.obolibrary.org/obo/OBA_VT0002982
VT0002975	blood vessel smooth muscle size trait	http://purl.obolibrary.org/obo/OBA_VT0002975
VT0003634	glial cell morphology trait	http://purl.obolibrary.org/obo/OBA_VT0003634
VT0005033	trophoblast giant cell morphology trait	http://purl.obolibrary.org/obo/OBA_VT0005033
VT0006005	interneuron quantity	http://purl.obolibrary.org/obo/OBA_VT0006005
VT0002176	brain mass	http://purl.obolibrary.org/obo/OBA_VT0002176
VT0000037	lateral semicircular canal morphology trait	http://purl.obolibrary.org/obo/OBA_VT0000037
VT0010204	proventriculus capacity	http://purl.obolibrary.org/obo/OBA_VT0010204
VT1000430	muscle cholesterol amount	http://purl.obolibrary.org/obo/OBA_VT1000430
VT0000787	telencephalon morphology trait	http://purl.obolibrary.org/obo/OBA_VT0000787
VT0000006	esophagus size trait	http://purl.obolibrary.org/obo/OBA_VT0000006
VT0004917	T cell selection trait	http://purl.obolibrary.org/obo/OBA_VT0004917
VT0003797	compact bone morphology trait	http://purl.obolibrary.org/obo/OBA_VT0003797
VT0003235	alisphenoid morphology trait	http://purl.obolibrary.org/obo/OBA_VT0003235
VT0005452	adipose amount	http://purl.obolibrary.org/obo/OBA_VT0005452
VT0000873	external granule cell layer thickness	http://purl.obolibrary.org/obo/OBA_VT0000873
VT0004287	spiral limbus morphology trait	http://purl.obolibrary.org/obo/OBA_VT0004287
VT0004192	kidney pyramid morphology trait	http://purl.obolibrary.org/obo/OBA_VT0004192
VT0003673	inguinal canal morphology trait	http://purl.obolibrary.org/obo/OBA_VT0003673
VT0003825	pillar cell morphology trait	http://purl.obolibrary.org/obo/OBA_VT0003825
VT0004123	impulse conducting system morphology trait	http://purl.obolibrary.org/obo/OBA_VT0004123
VT0001061	oculomotor nerve morphology trait	http://purl.obolibrary.org/obo/OBA_VT0001061
VT0001685	endoderm development trait	http://purl.obolibrary.org/obo/OBA_VT0001685
VT0000988	Pacinian corpuscle morphology trait	http://purl.obolibrary.org/obo/OBA_VT0000988
VT0004236	masseter muscle size trait	http://purl.obolibrary.org/obo/OBA_VT0004236
VT0008043	NK cell quantity	http://purl.obolibrary.org/obo/OBA_VT0008043
VT0003731	retinal outer nuclear layer morphology trait	http://purl.obolibrary.org/obo/OBA_VT0003731
VT0005253	eye physiology trait	http://purl.obolibrary.org/obo/OBA_VT0005253
VT0002264	bronchus morphology trait	http://purl.obolibrary.org/obo/OBA_VT0002264
VT0010290	milk calcium amount	http://purl.obolibrary.org/obo/OBA_VT0010290
VT0005499	olfactory system morphology trait	http://purl.obolibrary.org/obo/OBA_VT0005499
VT0004480	round window morphology trait	http://purl.obolibrary.org/obo/OBA_VT0004480
VT0008659	interleukin-10 secretion trait	http://purl.obolibrary.org/obo/OBA_VT0008659
VT0004258	placenta size trait	http://purl.obolibrary.org/obo/OBA_VT0004258
VT0010162	interleukin-10 physiology trait	http://purl.obolibrary.org/obo/OBA_VT0010162
