identifier	name	link
010008	excess lifetime risk of cancer	https://bioregistry.io/rbo:010008
010011	flux	https://bioregistry.io/rbo:010011
010006	delta ray	https://bioregistry.io/rbo:010006
010017	radiation quality	https://bioregistry.io/rbo:010017
010003	bystander effect	https://bioregistry.io/rbo:010003
010002	biodosimetry	https://bioregistry.io/rbo:010002
010013	linear energy transfer	https://bioregistry.io/rbo:010013
010019	relative biological effectiveness	https://bioregistry.io/rbo:010019
010007	dose equivalent	https://bioregistry.io/rbo:010007
010012	heavy ion	https://bioregistry.io/rbo:010012
010016	radiation dose	https://bioregistry.io/rbo:010016
010009	fast neutron	https://bioregistry.io/rbo:010009
010000	as low as reasonably achievable	https://bioregistry.io/rbo:010000
010020	tissue equivalence	https://bioregistry.io/rbo:010020
010010	fluence	https://bioregistry.io/rbo:010010
010014	organ dose	https://bioregistry.io/rbo:010014
010015	quality factor	https://bioregistry.io/rbo:010015
010018	radiation weighting factor	https://bioregistry.io/rbo:010018
010001	radiation attenuation	https://bioregistry.io/rbo:010001
