identifier	name	link
50000015	PfDHFR N51I substitution	http://purl.obolibrary.org/obo/IDOMAL_50000015
50000014	PfDHFR I164L substitution	http://purl.obolibrary.org/obo/IDOMAL_50000014
50000040	proguanil resistance.	http://purl.obolibrary.org/obo/IDOMAL_50000040
50000041	pyrimethamine resistance	http://purl.obolibrary.org/obo/IDOMAL_50000041
50000007	cytochrome b Y268S substitution	http://purl.obolibrary.org/obo/IDOMAL_50000007
50000037	atovaquone resistance	http://purl.obolibrary.org/obo/IDOMAL_50000037
50000045	piperaquine resistance	http://purl.obolibrary.org/obo/IDOMAL_50000045
50000039	antifolate resistance	http://purl.obolibrary.org/obo/IDOMAL_50000039
50000033	cross-resistance to multiple drugs	http://purl.obolibrary.org/obo/IDOMAL_50000033
50000038	artemisinin resistance	http://purl.obolibrary.org/obo/IDOMAL_50000038
50000016	PfDHFR S108N substitution	http://purl.obolibrary.org/obo/IDOMAL_50000016
50000004	mutated protein	http://purl.obolibrary.org/obo/IDOMAL_50000004
50000009	PfDHFR mutated protein	http://purl.obolibrary.org/obo/IDOMAL_50000009
50000047	sulfadoxine resistance	http://purl.obolibrary.org/obo/IDOMAL_50000047
50000011	PfMDR1 mutated protein	http://purl.obolibrary.org/obo/IDOMAL_50000011
50000021	PfDHPS K540E substitution	http://purl.obolibrary.org/obo/IDOMAL_50000021
50000005	cytochrome b mutated protein	http://purl.obolibrary.org/obo/IDOMAL_50000005
50000008	PfCRT mutated protein	http://purl.obolibrary.org/obo/IDOMAL_50000008
50000046	quinine resistance	http://purl.obolibrary.org/obo/IDOMAL_50000046
50000006	cytochrome b Y268N substitution	http://purl.obolibrary.org/obo/IDOMAL_50000006
50000035	atovaquone-proguanil resistance	http://purl.obolibrary.org/obo/IDOMAL_50000035
50000022	PfDHPS S436A substitution	http://purl.obolibrary.org/obo/IDOMAL_50000022
50000048	tolerance to antimalarial drug	http://purl.obolibrary.org/obo/IDOMAL_50000048
50000031	resistance to single antimalarial drug	http://purl.obolibrary.org/obo/IDOMAL_50000031
50000044	mefloquine resistance	http://purl.obolibrary.org/obo/IDOMAL_50000044
50000024	PfMDR1 N86Y substitution	http://purl.obolibrary.org/obo/IDOMAL_50000024
50000042	chloroquine resistance	http://purl.obolibrary.org/obo/IDOMAL_50000042
50000023	PfDHPS S436F substitution	http://purl.obolibrary.org/obo/IDOMAL_50000023
50000026	mutation	http://purl.obolibrary.org/obo/IDOMAL_50000026
50000034	simultaneous resistance to multiple drugs	http://purl.obolibrary.org/obo/IDOMAL_50000034
50000019	PfDHPS A613S substitution	http://purl.obolibrary.org/obo/IDOMAL_50000019
50000036	sulphadoxine-pyrimethamine resistance	http://purl.obolibrary.org/obo/IDOMAL_50000036
50000032	accelerated resistance to multiple drugs	http://purl.obolibrary.org/obo/IDOMAL_50000032
50000017	PfDHPS A437G substitution	http://purl.obolibrary.org/obo/IDOMAL_50000017
50000043	lumefantrine resistance	http://purl.obolibrary.org/obo/IDOMAL_50000043
50000018	PfDHPS A581G substitution	http://purl.obolibrary.org/obo/IDOMAL_50000018
50000030	resistance to multiple antimalarial drugs	http://purl.obolibrary.org/obo/IDOMAL_50000030
50000012	PfCRT K76T substitution	http://purl.obolibrary.org/obo/IDOMAL_50000012
50000010	PfDHPS mutated protein	http://purl.obolibrary.org/obo/IDOMAL_50000010
50000013	PfDHFR C59R substitution	http://purl.obolibrary.org/obo/IDOMAL_50000013
50000020	PfDHPS A613T substitution	http://purl.obolibrary.org/obo/IDOMAL_50000020
